outcome	model	eth5	estimate	p	min95	max95	idstr4	num	adjusted
"ons"	"model3"	"South Asian"	.63719809	4.900e-51	.60082193	.67577662	"eth5"	247	"+ household size"
"ons"	"model3"	"Black"	.71991427	4.331e-12	.6559832	.79007595	"eth5"	248	"+ household size"
"ons"	"model3"	"Mixed"	.73563991	.00033523	.62201193	.87002523	"eth5"	249	"+ household size"
"ons"	"model3"	"Other"	.64618696	3.454e-11	.56788534	.73528504	"eth5"	250	"+ household size"
"severe"	"crude"	"White"	1		1	1	""	251	"Crude"
"severe"	"crude"	"South Asian"	.72800213	0	.71910877	.73700547	""	252	"Crude"
"severe"	"crude"	"Black"	.82873312	5.617e-79	.81267377	.84510982	""	253	"Crude"
"severe"	"crude"	"Mixed"	.79828919	6.186e-56	.7762292	.82097613	""	254	"Crude"
"severe"	"crude"	"Other"	.54551271	0	.53222638	.55913072	""	255	"Crude"
"severe"	"model0"	"White"	1		1	1	""	256	"Age-sex"
"severe"	"model0"	"South Asian"	.91315385	2.126e-43	.90145791	.92500155	""	257	"Age-sex"
"severe"	"model0"	"Black"	1.0575295	3.677e-08	1.0366799	1.0787985	""	258	"Age-sex"
"severe"	"model0"	"Mixed"	.98591636	.32419492	.95850381	1.0141129	""	259	"Age-sex"
"severe"	"model0"	"Other"	.68156572	7.57e-200	.66479646	.69875798	""	260	"Age-sex"
"severe"	"model1"	"White"	1		1	1	""	261	"Age-sex-IMD"
"severe"	"model1"	"South Asian"	.84258372	9.85e-147	.83168943	.85362073	""	262	"Age-sex-IMD"
"severe"	"model1"	"Black"	.94613723	6.706e-08	.92730949	.96534725	""	263	"Age-sex-IMD"
"severe"	"model1"	"Mixed"	.93555127	4.225e-06	.90936896	.96248742	""	264	"Age-sex-IMD"
"severe"	"model1"	"Other"	.65491591	2.29e-240	.63871018	.67153282	""	265	"Age-sex-IMD"
"severe"	"model2"	"White"	1		1	1	""	266	"+ co-morbidities"
"severe"	"model2"	"South Asian"	.8999469	1.033e-40	.88613609	.91397295	""	267	"+ co-morbidities"
"severe"	"model2"	"Black"	1.0273352	.02834439	1.0028642	1.0524032	""	268	"+ co-morbidities"
"severe"	"model2"	"Mixed"	.98853398	.51588403	.95473475	1.0235298	""	269	"+ co-morbidities"
"severe"	"model2"	"Other"	.88179704	1.241e-15	.8550368	.9093948	""	270	"+ co-morbidities"
"severe"	"model3"	"White"	1		1	1	""	271	"+ household size"
"severe"	"model3"	"South Asian"	.86703177	1.747e-70	.85347837	.88080041	""	272	"+ household size"
"severe"	"model3"	"Black"	1.0169322	.17280905	.99267722	1.0417799	""	273	"+ household size"
"severe"	"model3"	"Mixed"	.98439901	.37576174	.95073659	1.0192533	""	274	"+ household size"
"severe"	"model3"	"Other"	.87141394	2.169e-18	.8449523	.89870429	""	275	"+ household size"
